round,client_id
4,3
4,10
4,11
4,12
4,14
4,16
4,17
4,19
4,20
4,23
4,24
4,26
4,27
4,30
4,31
4,32
4,34
4,35
4,38
4,40
4,44
4,47
4,48
4,50
4,52
4,54
4,56
4,57
4,61
4,64
4,66
4,67
4,68
4,69
4,70
4,72
4,74
4,81
4,83
4,84
4,85
4,86
4,88
4,89
4,92
4,94
4,95
4,96
4,99
4,103
4,104
4,105
4,109
4,111
4,114
4,115
4,116
4,117
4,122
4,123
4,124
4,127
4,128
4,129
4,130
4,131
4,132
4,133
4,134
4,135
4,137
4,138
4,140
4,143
4,145
4,146
4,147
4,148
4,149
4,151
4,152
4,153
4,154
4,157
4,158
4,160
4,162
4,163
4,164
4,167
4,170
4,172
4,174
4,175
4,180
4,182
4,183
4,188
4,189
4,194
4,196
4,197
4,202
4,204
4,205
4,207
4,210
4,212
4,214
4,216
4,217
4,218
4,220
4,223
4,227
4,228
4,230
4,232
4,233
4,234
4,235
4,238
4,239
4,242
4,244
4,249
4,250
4,251
4,254
4,255
4,257
4,260
4,261
4,263
4,264
4,266
4,268
4,272
4,273
4,278
4,279
4,285
4,286
4,289
4,291
4,293
4,294
4,295
4,297
4,298
4,299
4,301
4,303
4,304
4,305
4,308
4,313
4,315
4,318
4,321
4,322
4,323
4,324
4,325
4,326
4,328
4,329
4,333
4,337
4,340
4,344
4,346
4,348
4,352
4,353
4,355
4,356
4,359
4,362
4,367
4,368
4,370
4,371
4,372
4,373
4,374
4,377
4,378
4,379
4,383
4,385
4,387
4,388
4,389
4,390
4,393
4,394
4,395
4,396
4,397
4,401
4,402
4,403
4,404
4,406
4,408
4,411
4,413
4,416
4,417
4,420
4,423
4,424
4,425
4,426
4,428
4,429
4,430
4,432
4,434
4,435
4,437
4,438
4,439
4,442
4,444
4,445
4,449
4,450
4,451
4,453
4,454
4,455
4,460
4,462
4,463
4,466
4,467
4,470
4,471
4,472
4,474
4,476
4,481
4,485
4,486
4,492
4,495
4,497
