round,client_id
3,3
3,10
3,12
3,14
3,19
3,21
3,30
3,33
3,35
3,38
3,40
3,42
3,43
3,45
3,49
3,50
3,54
3,61
3,62
3,65
3,69
3,70
3,71
3,75
3,80
3,85
3,91
3,94
3,96
3,100
3,103
3,105
3,106
3,108
3,109
3,111
3,112
3,114
3,118
3,119
3,121
3,122
3,125
3,127
3,134
3,136
3,138
3,142
3,151
3,152
3,153
3,154
3,156
3,166
3,168
3,171
3,174
3,177
3,178
3,180
3,186
3,194
3,195
3,196
3,202
3,203
3,206
3,209
3,210
3,212
3,213
3,220
3,222
3,223
3,225
3,226
3,230
3,234
3,236
3,239
3,245
3,247
3,256
3,261
3,267
3,269
3,274
3,279
3,281
3,283
3,285
3,287
3,288
3,289
3,290
3,297
3,298
3,301
3,303
3,304
3,307
3,308
3,310
3,317
3,319
3,322
3,327
3,328
3,330
3,338
3,353
3,357
3,359
3,360
3,361
3,362
3,364
3,367
3,368
3,370
3,375
3,377
3,386
3,389
3,397
3,405
3,410
3,411
3,413
3,417
3,424
3,425
3,428
3,429
3,434
3,435
3,440
3,445
3,448
3,451
3,455
3,456
3,461
3,472
3,475
3,476
3,477
3,486
3,488
3,492
3,494
3,495
3,499
