round,client_id
2,1
2,2
2,8
2,10
2,12
2,16
2,17
2,19
2,21
2,24
2,28
2,29
2,30
2,32
2,38
2,39
2,40
2,41
2,48
2,49
2,53
2,55
2,57
2,60
2,62
2,70
2,73
2,74
2,75
2,81
2,86
2,90
2,99
2,100
2,101
2,105
2,106
2,114
2,117
2,118
2,121
2,135
2,141
2,142
2,144
2,146
2,148
2,149
2,150
2,151
2,155
2,156
2,163
2,164
2,165
2,166
2,170
2,171
2,174
2,175
2,177
2,178
2,179
2,181
2,185
2,187
2,188
2,191
2,198
2,214
2,215
2,218
2,219
2,224
2,225
2,229
2,230
2,233
2,234
2,240
2,242
2,244
2,245
2,248
2,261
2,265
2,267
2,270
2,281
2,282
2,283
2,288
2,296
2,297
2,301
2,306
2,308
2,312
2,316
2,319
2,320
2,327
2,328
2,331
2,332
2,339
2,340
2,341
2,347
2,350
2,352
2,355
2,358
2,359
2,364
2,367
2,368
2,370
2,375
2,376
2,379
2,382
2,391
2,397
2,398
2,401
2,405
2,415
2,416
2,422
2,431
2,444
2,447
2,456
2,460
2,461
2,465
2,468
2,476
2,481
2,488
2,490
2,491
2,492
2,494
2,499
2,500
