round,client_id
4,12
4,22
4,28
4,29
4,31
4,35
4,36
4,39
4,40
4,48
4,62
4,64
4,73
4,75
4,78
4,83
4,87
4,88
4,90
4,91
4,109
4,120
4,122
4,152
4,153
4,157
4,158
4,165
4,170
4,172
4,174
4,176
4,178
4,182
4,190
4,191
4,195
4,197
4,200
4,211
4,212
4,213
4,214
4,215
4,217
4,219
4,221
4,227
4,234
4,241
4,250
4,260
4,264
4,270
4,271
4,275
4,278
4,298
4,304
4,306
4,311
4,312
4,315
4,316
4,318
4,327
4,328
4,331
4,333
4,336
4,341
4,342
4,343
4,349
4,352
4,353
4,360
4,363
4,370
4,374
4,375
4,387
4,396
4,401
4,402
4,408
4,415
4,416
4,423
4,425
4,426
4,433
4,449
4,455
4,476
4,477
4,482
4,489
4,494
