round,client_id
9,3
9,8
9,9
9,10
9,14
9,16
9,17
9,20
9,21
9,26
9,32
9,33
9,34
9,35
9,37
9,38
9,40
9,41
9,48
9,50
9,54
9,55
9,57
9,59
9,62
9,66
9,69
9,72
9,73
9,74
9,75
9,78
9,80
9,82
9,83
9,87
9,88
9,89
9,94
9,96
9,99
9,101
9,103
9,105
9,108
9,112
9,114
9,117
9,118
9,120
9,121
9,122
9,129
9,131
9,133
9,134
9,135
9,136
9,137
9,141
9,144
9,148
9,149
9,150
9,152
9,155
9,156
9,160
9,161
9,162
9,164
9,166
9,174
9,177
9,181
9,183
9,187
9,188
9,192
9,198
9,203
9,205
9,206
9,207
9,208
9,214
9,216
9,218
9,219
9,220
9,223
9,225
9,228
9,230
9,231
9,235
9,236
9,240
9,242
9,244
9,248
9,249
9,250
9,253
9,255
9,257
9,261
9,264
9,265
9,267
9,270
9,272
9,273
9,275
9,278
9,280
9,285
9,287
9,289
9,296
9,297
9,308
9,313
9,326
9,327
9,329
9,331
9,333
9,335
9,345
9,352
9,358
9,367
9,368
9,369
9,373
9,375
9,381
9,382
9,387
9,390
9,391
9,393
9,397
9,398
9,399
9,404
9,405
9,411
9,416
9,424
9,431
9,432
9,437
9,438
9,439
9,442
9,444
9,445
9,453
9,455
9,456
9,459
9,462
9,463
9,465
9,468
9,471
9,473
9,476
9,478
9,481
9,484
9,488
9,489
9,491
9,492
9,493
9,494
9,496
9,500
