round,client_id
2,1
2,2
2,12
2,16
2,17
2,19
2,20
2,21
2,26
2,28
2,29
2,30
2,32
2,34
2,40
2,41
2,44
2,48
2,49
2,53
2,55
2,57
2,62
2,73
2,74
2,96
2,100
2,101
2,105
2,117
2,118
2,120
2,129
2,133
2,135
2,137
2,141
2,142
2,143
2,146
2,148
2,150
2,151
2,157
2,160
2,163
2,164
2,165
2,169
2,170
2,171
2,174
2,178
2,183
2,187
2,188
2,191
2,198
2,212
2,215
2,218
2,219
2,225
2,230
2,233
2,234
2,236
2,244
2,248
2,249
2,250
2,261
2,265
2,267
2,270
2,274
2,276
2,281
2,282
2,290
2,297
2,301
2,306
2,307
2,308
2,312
2,316
2,319
2,321
2,327
2,329
2,330
2,335
2,339
2,340
2,341
2,342
2,345
2,350
2,352
2,358
2,359
2,364
2,367
2,368
2,370
2,373
2,379
2,382
2,385
2,391
2,398
2,401
2,408
2,411
2,413
2,416
2,419
2,420
2,422
2,431
2,432
2,435
2,444
2,447
2,449
2,456
2,457
2,460
2,465
2,468
2,471
2,474
2,476
2,481
2,488
2,492
